time/total_timesteps,time/fps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/episodes,train/learning_rate,train/actor_loss,train/critic_loss,train/ent_coef,train/n_updates,train/ent_coef_loss
574,4,123,1.65,-26.19,300,0.0003,28.878490447998047,559.6253662109375,0.9155868887901306,473,-0.005681130103766918
592,4,130,1.68,-25.92,310,0.0003,28.532644271850586,581.3414306640625,0.9148437976837158,491,-0.006033804267644882
606,4,136,1.58,-21.85,320,0.0003,28.497570037841797,577.5908203125,0.9144070744514465,505,-0.008931247517466545
621,4,143,1.53,-20.95,330,0.0003,28.999534606933594,554.82275390625,0.91416996717453,520,0.00016039743786677718
640,4,152,1.53,-19.96,340,0.0003,28.433317184448242,624.4593505859375,0.9141574501991272,539,0.002327339956536889
654,4,159,1.51,-19.63,350,0.0003,28.530305862426758,609.3549194335938,0.9142173528671265,553,0.004253671504557133
666,4,166,1.48,-17.68,360,0.0003,29.059146881103516,605.1416625976562,0.9143633842468262,565,0.0015838013496249914
682,3,174,1.49,-17.83,370,0.0003,28.471012115478516,546.0552368164062,0.9147233366966248,581,0.005266296677291393
698,3,182,1.52,-18.54,380,0.0003,28.466354370117188,601.95556640625,0.9151837229728699,597,0.007785061839967966
713,3,191,1.54,-19.57,390,0.0003,28.65256118774414,588.6823120117188,0.9157016277313232,612,0.015061766840517521
730,3,200,1.56,-19.63,400,0.0003,27.753963470458984,619.5628662109375,0.9165001511573792,629,0.010311521589756012
745,3,208,1.53,-19.47,410,0.0003,27.583730697631836,592.1422119140625,0.9172361493110657,644,0.006894666235893965
766,3,219,1.6,-21.96,420,0.0003,28.2391357421875,668.3361206054688,0.9183621406555176,665,0.010007097385823727
787,3,230,1.66,-25.37,430,0.0003,28.23139190673828,574.12158203125,0.9194721579551697,686,0.007264707237482071
802,3,240,1.62,-24.12,440,0.0003,28.58792495727539,553.753662109375,0.9202817678451538,701,0.013620873913168907
814,3,248,1.6,-22.88,450,0.0003,28.066959381103516,599.9315185546875,0.9209585785865784,713,0.012838849797844887
837,3,261,1.71,-27.58,460,0.0003,28.328105926513672,592.6233520507812,0.922217845916748,736,0.004851327743381262
856,3,273,1.74,-28.34,470,0.0003,28.190359115600586,559.2575073242188,0.923128604888916,755,0.013114383444190025
874,3,285,1.76,-28.79,480,0.0003,28.274456024169922,550.4132080078125,0.9240242838859558,773,0.01187782734632492
887,3,295,1.74,-27.7,490,0.0003,28.455032348632812,580.0635986328125,0.9246818423271179,786,0.004228657111525536
905,2,308,1.75,-27.84,500,0.0003,28.809436798095703,599.1478271484375,0.925726056098938,804,0.012055004946887493
918,2,318,1.73,-26.7,510,0.0003,28.439319610595703,549.4322509765625,0.926547110080719,817,0.011782501824200153
934,2,330,1.68,-24.32,520,0.0003,28.740283966064453,565.9446411132812,0.9276178479194641,833,0.014786403626203537
948,2,342,1.61,-20.08,530,0.0003,28.55402183532715,607.1466064453125,0.928753674030304,847,0.014627031981945038
960,2,353,1.58,-18.72,540,0.0003,28.004331588745117,533.1934814453125,0.9298092722892761,859,0.01568060927093029
971,2,364,1.57,-18.46,550,0.0003,27.231952667236328,540.46630859375,0.9309470057487488,870,0.015461855567991734
982,2,374,1.45,-13.47,560,0.0003,26.992286682128906,567.6958618164062,0.9320570230484009,881,0.008518691174685955
992,2,385,1.36,-10.56,570,0.0003,26.42241096496582,499.75238037109375,0.9331428408622742,891,0.02363857999444008
